age_of_participant,gender,academic_status,field_of_education,do_you_know_about_how_antibiotics_differ_from_other_drugs,pick_the_most_appropriate_definition_of_antibiotics,how_can_you_identify_an_antibiotic,what_is_your_idea_about_the_importance_of_antibiotics,what_is_the_most_dangerous_impact_of_antibiotics,what_is_your_opinion_about_antibiotic_usage,what_is_your_perception_of_drug-resistant_germs,do_you_have_idea_about_antibiotic_resistance_as_a_threat_to_public_health,choose_a_statement_that_you_feel_is_the_best_strategy_to_face_antibiotic-resistance,which_of_the_strategies_have_you_heard_about_against_antibiotic_resistance,what_type_of_movement_on_public_health_issues_do_you_think_will_be_effective_in_setting_malpractices_right,why_do_you_think_public_health_issues_don’t_get_due_importance_in_public_opinion,how_many_antibiotics_have_you_taken_over_the_past_3_years,what_was_the_pattern_of_antibiotic_use,what_was_the_formulation_of_the_product_used,what_was_the_best_experience_with_the_consumption_of_antibiotics,what_was_the_worst_experience_with_the_consumption_of_antibiotics,how_did_you_come_to_consume_the_antibiotic,have_you_experienced_treatment_failure_from_antibiotic_consumption,what_was_your_understanding_of_treatment_failure
32,Male,NationalUniversity  ,Msc,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Oral,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
27,Male,M.Sc in Microbiology,Microbiology,Yes ,Medicine used to treat infections ,From name ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
22,Female,HSC,Architecture ,No ,Medicine used to treat inflammation ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t care ,,,,,,,
28,Male,M.Sc. in ACCE,ACCE,Yes ,Medicine used to treat infections ,From name ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t care about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,Doctor couldn’t diagnose the correct problem 
19,Male,University ,Economics,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
21,Female,Becholer of science,CSE,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
21,Female,Bachelor of science  ,Physics ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our government does not endorse forming public opinion on public health policies ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
28,Male,Master’s of pharmacy  ,Pharmacy ,Yes ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
23,Female,Bsc,Jagannath University  ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,Hons 2nd year,Mathematics ,No ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Oral, Tablet",I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),High price ,A registered physician prescribed it for the specific symptoms ,Yes ,Doctor couldn’t diagnose the correct problem 
21,Female,Hons' 3rd year,Public administration,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,Yes ,The symptom persisted even after taking the antibiotic directly 
18,Male,Bsc. In Software Engineering,Software Engineering,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Anyone can use antibiotics as chosen ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
19,Female,Bsc,soil science ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,Student ,LL.B(Hons.),Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,Yes ,The symptom persisted even after taking the antibiotic directly 
19,Male,Hon's 1st year,Microbiology,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
26,Female,Msc,Eden Mahila collage ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t care about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Legal movement by welfare lawyers ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
21,Female,Styding bsc in microbiology ,Microbiology ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,B.Sc,Human health  ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,Bsc,East West University ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Male,"Jagannath University, Dhaka-1100  ",Microbiology ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
19,Female,Bsc,Animal husbandry,No ,Medicine used to treat infections ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
18,Male,Jagannath University ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Tablet, Injection","I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A non-registered medical professional  recommended (অনিবন্ধিত মেডিকেল পেশাদারের  পরামর্শ অনুযায়ী),No ,
20,Male,HSC passed and studing in Hons 1st year.,Geography and Environmental Science,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
14,Male,Hons. 4th,Microbiology,Yes ,Medicine used to treat fever ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
21,Male,Bsc,Microbiology,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
21,Female,BSC 2nd year ,Microbiology at Jagannath University   ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
20,Female,B.Sc.,Microbiology ,Yes ,Medicine used to treat inflammation ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
24,Female,Graduate,Business,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Legal movement by welfare lawyers ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
24,Male,Graduate,Business,No ,Medicine used to treat inflammation ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good to take medicines regularly (আমি নিয়মিত ওষুধ সেবন করলে ভাল বোধ করি),High price ,A registered physician prescribed it for the specific symptoms ,No ,
18,Female,BS,veterinary and animal science ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Tablet, Injection",I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
25,Female,Graduate ,BBA,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
23,Male,Honours,B B A ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
26,Male,Graduate,Engineering ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I don’t remember what antibiotics I took (আমার মনে নেই),"Oral, Tablet","I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
26,Female,Bachelor's,Business,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
24,Female,Graduate,Engineering ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Female,Hons 2nd year,Bachelor Of Pharmacy ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
23,Male,Hons.  3rd year,Economics ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic consumption increases the cost of healthcare ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our media is not active in spreading awareness ,None ,,,,,,,
21,Female,H.s.c,B.B.A (pro) running,Yes ,Medicine used to treat inflammation ,I have no idea ,They are the reason hospitalization has been reduced ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
21,Female,Honours 3rd year,Microbiology,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Female,Under graduate,"Soil,water and environment",No ,Medicine used to treat inflammation ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Female,Undergraduate ,Textile Engineering ,No ,Medicine used to treat infections ,I have no idea ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
21,Female,B.sc,Microbiology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
28,Male,M.Sc in mathematics ,mathematics ,No ,Medicine used to treat infections ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
30,Female,Graduate,Law,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
28,Male,B.Sc (Hons) & M.Sc in Microbiology,Clinical Microbiology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,None ,,,,,,,
20,Male,B.Sc,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,Doctor couldn’t diagnose the correct problem 
